Unnamed: 0,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z,emg_0,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,.orientation.x.1,.orientation.y.1,.orientation.z.1,.orientation.w.1,.angular_velocity.x.1,.angular_velocity.y.1,.angular_velocity.z.1,.linear_acceleration.x.1,.linear_acceleration.y.1,.linear_acceleration.z.1,emg_0.1,emg_1.1,emg_2.1,emg_3.1,emg_4.1,emg_5.1,emg_6.1,emg_7.1,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,vel_1,vel_2,vel_3,vel_4,vel_5,vel_6,vel_7,vel_8,vel_9
21,-0.2658117356616151,-0.4330503477655935,0.3945976741796422,0.7655744202993431,65.5625,209.5625,-178.5625,-0.76318359375,0.79931640625,0.54931640625,10.262171857581828,20.873103105018814,31.13662802436808,35.86619373898067,11.70226389907266,7.629975387549481,8.188173694894148,5.474158778328123,-0.6479292273855289,-0.4306507750972392,0.1099819581526679,-0.6185722230173639,-165.375,282.875,29.875,1.1083984375,0.3310546875,0.732421875,5.651289234954835,5.309708502984496,9.155165637869857,19.107273568878337,14.317409714252308,5.2991898660990415,3.3182824872721044,3.451945793940465,0.227239747559759,-0.8356119527825451,0.473622148623327,-2.1959625895556774,0.3399524594801568,1.4685106513901824,1.4035802359561207,0.0404733076505104,0.0404733076505104,0.0925895752022755,-0.0231639220836318,0.1999322787837914,0.0671002080034237,0.1417964315889163,-0.0428213040494882,0.2518405176279366,0.0,0.0
22,-0.2575043533504681,-0.4669745929093225,0.3813432566327862,0.7551182412069191,42.5,177.4375,-125.75,-0.771484375,0.7001953125,0.56005859375,10.013662031874269,19.39670279049788,28.65906956529445,32.49751031876622,10.59259676664055,8.409533203380075,9.846185368614435,5.416228115615377,-0.6559041643034748,-0.3875492177656151,0.0936831573653888,-0.6409514779487385,-106.0625,279.25,36.5625,1.06103515625,0.19970703125,0.68115234375,5.360433182158935,5.307682060773631,8.054645655196794,18.88576921774753,14.15643973445657,4.846577650636768,3.207243492460361,3.316708468858564,0.2497012507627349,-0.841528280032152,0.5207464418947723,-2.1798877246766977,0.3742816202829619,1.4580397377496337,1.4644510337755852,0.0404736558041076,0.0404736558041076,0.0995071894171253,-0.0214992753150643,0.2039976717612474,0.0708374958489304,0.146649619951112,-0.0450483651433188,0.2635309737217163,0.0,0.0
23,-0.2512258224906423,-0.4931741121779373,0.3732986225346862,0.7445220074686237,49.25,142.25,-86.6875,-0.6484375,0.54345703125,0.5478515625,9.619142725279128,17.39876657450022,24.68370487354381,28.91214448055448,9.626055285955925,9.958076834263618,11.867364241215247,4.973281633775419,-0.656329061440201,-0.352454931171393,0.0705520173911914,-0.6633476444851724,-34.8125,272.9375,45.75,0.970703125,0.18115234375,0.5732421875,5.005964224348494,4.781188859510043,6.985761176548585,19.448319889013867,14.010798777672228,4.560111531049318,3.0386257654750533,3.17561331447578,0.2721536605779247,-0.8461213129745881,0.5678106508926932,-2.163958413417736,0.4083719810028446,1.4473904982978705,1.5250642432083048,0.0404740824109837,0.0404740824109837,0.0924707545089442,-0.0199698174606288,0.1904936297389248,0.0630014847759643,0.1416741183921327,-0.0417747264246855,0.2476228493171611,0.0,0.0
24,-0.2448175335842123,-0.5148431552687187,0.3723228508760147,0.732377358633,77.3125,117.8125,-54.9375,-0.61572265625,0.458984375,0.55126953125,10.408975972677736,16.35389084668601,21.96711079267929,26.65073495053028,9.21554023009847,11.055767856908776,13.348641033177376,5.819714739392429,-0.6503095262482229,-0.3251242464874972,0.0411974594291459,-0.6853426250813041,30.3125,264.0,53.375,0.90673828125,0.19140625,0.55126953125,4.403287047077256,4.192428600894591,6.268542135166715,18.649145249050022,13.23087106764424,4.321655672659578,2.848461083783534,2.893988493056809,0.294426591022704,-0.851952830729275,0.6144370836751797,-2.148156523239856,0.4422117749088312,1.437027654665351,1.5852480868005023,0.0404741325179648,0.0404741325179648,0.0977564544673309,-0.0248275405075012,0.2051907516590982,0.0708671975302809,0.153146701863937,-0.0420199548186142,0.267282223841057,0.0,0.0
25,-0.238337790762925,-0.5306906762314041,0.375298098694296,0.7216050448630121,98.75,93.0625,-23.0,-0.56689453125,0.41845703125,0.4677734375,11.302023280956377,15.704509155958824,18.52091870253647,22.73799241627686,8.104760991305362,10.960572358902525,14.15299547878512,6.418217937190913,-0.6397969674921744,-0.3035724617290924,0.0066524725228128,-0.7060165334302656,80.625,256.8125,55.375,0.78515625,0.16845703125,0.52685546875,3.7248565648876766,3.6169875847584025,6.0303473874786535,18.62938462692259,12.76173424399407,4.127100589900607,2.5741327473732536,2.524172741922912,0.3173229957153432,-0.8573374324554379,0.6622172061596268,-2.131844268316629,0.4768958484601601,1.4264718953063236,1.6472420509364627,0.0404736105213429,0.0404736105213429,0.0947784652448589,-0.0247015595201328,0.1920817046176519,0.0666615512830718,0.1336505619671049,-0.041300555464783,0.2380416138774926,0.0,0.0
26,-0.2352883522758354,-0.5409495891623164,0.3820765461081012,0.7113581701102107,85.625,66.25,4.3125,-0.4892578125,0.5478515625,0.30615234375,11.29227486440731,13.352644120904104,14.940506150776583,18.98129568566397,6.967435968999746,11.112287015270123,14.57723974897785,6.597553889967409,-0.6252164923366988,-0.2867915167405455,-0.03234720235635,-0.7251266248977273,123.3125,251.3125,58.125,0.744140625,0.177734375,0.5078125,3.7290596196650543,3.4627507049541406,5.406074130769054,17.427450946503683,11.74849859555006,3.992989128293782,2.5029896744377718,2.4951344205065373,0.332744718532613,-0.8624739432997152,0.6930178646451528,-2.1214273041596527,0.4973509258503906,1.4198520235459229,1.6831030689050628,0.0404737189231018,0.0404737189231018,0.0255949542689506,-0.0106101553229371,0.0495698478475984,0.0154024484484508,0.029179552262209,-0.012442945987328,0.0488480562089328,0.0,0.0
27,-0.2359086311766041,-0.5457943027118226,0.3889287963408335,0.7036974408370167,56.0,39.9375,25.8125,-0.51611328125,0.65625,0.19873046875,11.423859793620233,11.560922909414566,12.992384413218774,15.738731062697024,6.434597929834298,11.70892965395649,16.290133033862844,7.026618471499162,-0.6070215358771471,-0.2742765717104262,-0.0742756092059609,-0.7421457748105881,156.5,240.9375,61.3125,0.70361328125,0.25732421875,0.55224609375,3.998664682833197,3.609568376645544,4.947429010114639,15.966450239948992,10.843199712005369,3.99048686046352,2.5256724537863384,2.803235926909366,0.3325612256258554,-0.8626152996803083,0.6930516992996132,-2.12200571057141,0.4969289080209721,1.4198541677543028,1.6817391881794062,0.0404730191425525,0.0404730191425525,-0.0086053480095372,0.0021304560188427,-0.0148106205965504,-0.0065451109125807,-0.0091618153972612,0.0027124131732878,-0.0181240243272546,0.0,0.0
28,-0.2382834842888333,-0.5430959127054403,0.3997229863236602,0.698920127712969,50.9375,-0.375,62.6875,-0.5419921875,0.60400390625,0.20751953125,11.54464920635956,10.63148753959282,9.152897101063994,10.04266384397017,5.347211770392713,12.462451851502273,18.559794351699946,7.744866343491831,-0.5865151341038991,-0.2673801043193738,-0.116692709303502,-0.7555730863898306,180.625,211.625,62.625,0.541015625,0.556640625,0.654296875,3.7044227708851674,2.968809942230807,4.643315208008492,15.442345818992504,9.561334944947385,3.383726157858917,2.1882042974453872,2.6963780540080715,0.3328323229573076,-0.8626483540247555,0.6936074624199979,-2.12179979936514,0.4973343987303486,1.419748830107015,1.6824761611237435,0.0404739801499505,0.0404739801499505,0.003717917407779,-0.0005194283819895,0.0056577597106093,0.0006461047270265,0.0042730039504022,-0.0011254072163015,0.009387657311239,0.0,0.0
29,-0.2450656238289413,-0.5347496713238742,0.4165810417515627,0.6931420234623804,50.75,-21.25,106.6875,-0.267578125,0.44140625,0.2236328125,14.09897355282141,12.054989961794448,7.631684539975388,7.829964528380456,5.148322785239544,13.492309372049146,19.553441323069716,9.265367677353431,-0.5673714814776938,-0.2590890639923419,-0.1560027438314313,-0.765914879632485,158.3125,201.9375,50.9375,0.44482421875,0.703125,0.3779296875,3.0817341621485173,2.4627450327815747,4.71929673385209,15.646332278718328,8.884872558242119,3.056014100333549,2.061111292271708,2.563987363559621,0.3327556329359135,-0.8626283922021729,0.6934801334698092,-2.121872961714661,0.4972329453009153,1.419783698641674,1.6822698309008186,0.040473754201071,0.040473754201071,-0.0019039838225241,-0.000673590149738,-0.00416172074162,-0.0022793526092453,-0.00329875195073,0.0006768574809519,-0.0068492086956452,0.0,0.0
30,-0.2596998401555938,-0.5211696674708851,0.4354778753255375,0.6865108818026133,30.9375,-22.5625,154.0625,-0.02685546875,0.4814453125,0.306640625,15.864730811401651,12.73417419808224,7.6970009155304115,7.123636287821308,5.107197139172323,14.811831652591383,20.91063528092555,9.934472468809588,-0.5547871414357789,-0.242910101530737,-0.1849290471452596,-0.7739555270128836,79.25,192.375,22.8125,0.341796875,0.66650390625,0.28076171875,3.0866650471418726,2.396302278300459,4.547745921153756,14.214930316420656,7.656526452733241,2.7503313877430347,2.0701313350123374,2.62411294636831,0.3327748983870396,-0.8626303039782098,0.693516197956897,-2.1218601145445763,0.4972571859366707,1.4197794973315423,1.6823158336730228,0.0404733545590136,0.0404733545590136,0.0005833024899026,0.0004792021119023,0.0009307373884213,7.712767609467286e-05,0.000831068875725,-0.0003133558816482,0.0030560737598631,0.0,0.0
31,-0.2804025212156464,-0.5044071474371141,0.45472328756129,0.6783616936853929,12.3125,-16.625,187.9375,0.10205078125,0.4326171875,0.232421875,16.41660243391227,13.244097683427952,7.090273605582697,6.016197165440051,4.80182044083273,14.668043228868024,21.17934420195952,10.467807292003368,-0.5475913453696508,-0.2199642452866943,-0.204278670636672,-0.7810439641880763,11.125,183.9375,1.6875,0.296875,0.54638671875,0.37255859375,3.066705776849618,2.3745977920377483,4.047549222531135,12.575850642220413,6.2543052656179166,2.5537348526970645,2.0646568217294976,2.709741318285094,0.3327672221835498,-0.8626273502895707,0.6935078255233563,-2.1218699633741847,0.4972504582250526,1.419782901546593,1.682294856423181,0.0404738573858067,0.0404738573858067,-0.0003168901215547,0.0001685356605403,-0.0011823932186011,-6.202446122167456e-05,-0.0020317877329873,0.0005315113402209,-0.0017621235404009,0.0,0.0
32,-0.3006719764325563,-0.4861657109795597,0.4751789152512081,0.6689127465944752,17.3125,-22.625,195.6875,0.1767578125,0.37353515625,0.109375,18.20761248509553,14.188146057359688,6.793769299725847,4.732856245713338,4.721983602252085,15.090769965462949,20.5603724979635,12.24238573544472,-0.5408036161134122,-0.1969499231687147,-0.2193486284066813,-0.7877996926748588,-5.1875,169.75,3.8125,0.24169921875,0.36474609375,0.45361328125,3.393698283738459,2.554606821353244,3.942243745867418,12.752715722921064,6.260581224955177,2.620097185949179,2.2124521314235954,3.0107675140529477,0.3327658254964142,-0.8626271491686426,0.6935071520102306,-2.121871694579777,0.4972478782801362,1.4197841008458394,1.6822988592419668,0.0404733551704813,0.0404733551704813,-0.0017455131718271,-0.0001395232558407,0.0004184290706468,0.0002955058623205,-0.0008746379904621,-0.0002846310664306,-0.0007258811252842,0.0,0.0
33,-0.3137246195143534,-0.4699765700895955,0.5020204271411588,0.6547322944611806,78.6875,-32.375,187.5625,0.25732421875,0.33837890625,0.09765625,19.28115174413553,16.022138408798074,7.010907746680505,3.866362993859265,4.415311074882049,15.734642628633509,20.80883914133529,13.138878301897488,-0.5297072495339112,-0.1788883452452925,-0.2358933655315781,-0.7948355237562076,24.5625,157.125,28.6875,0.18359375,0.1728515625,0.46435546875,3.4503179523708414,2.53582107933054,3.848855258386668,12.383848268533658,5.897406710605581,2.5283358429825227,2.2860536800570173,3.1770234470211545,0.3327673170280441,-0.8626269862162801,0.693509351263047,-2.121877048682371,0.4972453061839561,1.4197862459746222,1.6822957576056696,0.0404734661611469,0.0404734661611469,0.0008890625570724,0.000767649110742,0.0002055335721421,-0.0002275301420126,-0.0006791435666123,0.0005470427966539,0.0012080072579451,0.0,0.0
